timestamp,sensor_a,sensor_b,target
2024-01-01T00:00:00,100,50,0
2024-01-01T01:00:00,101,51,1
2024-01-01T02:00:00,102,52,2
2024-01-01T03:00:00,103,53,0
2024-01-01T04:00:00,104,54,1
2024-01-01T05:00:00,105,55,2
2024-01-01T06:00:00,106,56,0
2024-01-01T07:00:00,107,57,1
2024-01-01T08:00:00,108,58,2
2024-01-01T09:00:00,109,50,0
2024-01-01T10:00:00,110,51,1
2024-01-01T11:00:00,111,52,2
2024-01-01T12:00:00,112,53,0
2024-01-01T13:00:00,113,54,1
2024-01-01T14:00:00,114,55,2
2024-01-01T15:00:00,115,56,0
2024-01-01T16:00:00,116,57,1
2024-01-01T17:00:00,100,58,2
2024-01-01T18:00:00,101,50,0
2024-01-01T19:00:00,102,51,1
2024-01-01T20:00:00,103,52,2
2024-01-01T21:00:00,104,53,0
2024-01-01T22:00:00,105,54,1
2024-01-01T23:00:00,106,55,2
2024-01-01T00:00:00,107,56,0
2024-01-01T01:00:00,108,57,1
2024-01-01T02:00:00,109,58,2
2024-01-01T03:00:00,110,50,0
2024-01-01T04:00:00,111,51,1
2024-01-01T05:00:00,112,52,2
2024-01-01T06:00:00,113,53,0
2024-01-01T07:00:00,114,54,1
2024-01-01T08:00:00,115,55,2
2024-01-01T09:00:00,116,56,0
2024-01-01T10:00:00,100,57,1
2024-01-01T11:00:00,101,58,2
2024-01-01T12:00:00,102,50,0
2024-01-01T13:00:00,103,51,1
2024-01-01T14:00:00,104,52,2
2024-01-01T15:00:00,105,53,0
2024-01-01T16:00:00,106,54,1
2024-01-01T17:00:00,107,55,2
2024-01-01T18:00:00,108,56,0
2024-01-01T19:00:00,109,57,1
2024-01-01T20:00:00,110,58,2
2024-01-01T21:00:00,111,50,0
2024-01-01T22:00:00,112,51,1
2024-01-01T23:00:00,113,52,2
2024-01-01T00:00:00,114,53,0
2024-01-01T01:00:00,115,54,1
2024-01-01T02:00:00,116,55,2
2024-01-01T03:00:00,100,56,0
2024-01-01T04:00:00,101,57,1
2024-01-01T05:00:00,102,58,2
2024-01-01T06:00:00,103,50,0
2024-01-01T07:00:00,104,51,1
2024-01-01T08:00:00,105,52,2
2024-01-01T09:00:00,106,53,0
2024-01-01T10:00:00,107,54,1
2024-01-01T11:00:00,108,55,2
2024-01-01T12:00:00,109,56,0
2024-01-01T13:00:00,110,57,1
2024-01-01T14:00:00,111,58,2
2024-01-01T15:00:00,112,50,0
2024-01-01T16:00:00,113,51,1
2024-01-01T17:00:00,114,52,2
2024-01-01T18:00:00,115,53,0
2024-01-01T19:00:00,116,54,1
2024-01-01T20:00:00,100,55,2
2024-01-01T21:00:00,101,56,0
2024-01-01T22:00:00,102,57,1
2024-01-01T23:00:00,103,58,2
2024-01-01T00:00:00,104,50,0
2024-01-01T01:00:00,105,51,1
2024-01-01T02:00:00,106,52,2
2024-01-01T03:00:00,107,53,0
2024-01-01T04:00:00,108,54,1
2024-01-01T05:00:00,109,55,2
2024-01-01T06:00:00,110,56,0
2024-01-01T07:00:00,111,57,1
2024-01-01T08:00:00,112,58,2
2024-01-01T09:00:00,113,50,0
2024-01-01T10:00:00,114,51,1
2024-01-01T11:00:00,115,52,2
2024-01-01T12:00:00,116,53,0
2024-01-01T13:00:00,100,54,1
2024-01-01T14:00:00,101,55,2
2024-01-01T15:00:00,102,56,0
2024-01-01T16:00:00,103,57,1
2024-01-01T17:00:00,104,58,2
2024-01-01T18:00:00,105,50,0
2024-01-01T19:00:00,106,51,1
2024-01-01T20:00:00,107,52,2
2024-01-01T21:00:00,108,53,0
2024-01-01T22:00:00,109,54,1
2024-01-01T23:00:00,110,55,2
2024-01-01T00:00:00,111,56,0
2024-01-01T01:00:00,112,57,1
2024-01-01T02:00:00,113,58,2
2024-01-01T03:00:00,114,50,0
2024-01-01T04:00:00,115,51,1
2024-01-01T05:00:00,116,52,2
2024-01-01T06:00:00,100,53,0
2024-01-01T07:00:00,101,54,1
2024-01-01T08:00:00,102,55,2
2024-01-01T09:00:00,103,56,0
2024-01-01T10:00:00,104,57,1
2024-01-01T11:00:00,105,58,2
2024-01-01T12:00:00,106,50,0
2024-01-01T13:00:00,107,51,1
2024-01-01T14:00:00,108,52,2
2024-01-01T15:00:00,109,53,0
2024-01-01T16:00:00,110,54,1
2024-01-01T17:00:00,111,55,2
2024-01-01T18:00:00,112,56,0
2024-01-01T19:00:00,113,57,1
2024-01-01T20:00:00,114,58,2
2024-01-01T21:00:00,115,50,0
2024-01-01T22:00:00,116,51,1
2024-01-01T23:00:00,100,52,2
